,Total,201434,201435,201436,201437,201438,201439,201440,201441,201442,201443,201444,201445,201446,201447,201448,201449,201450,201451,201452,201453,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201513,201514,201515,201516,201517,201518,201519,201520,201521,201522,201523,201524,201525,201526,201527,201528,201529,201530,201531,201532,201533,201534,201535,201536,201537,201538,201539,201540,201541,201542,201543,201544,201545,201546,201547,201548,201549,201550,201551,201552,201553,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201613
Country,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions
United States,14106,63,87,90,117,194,336,323,74,41,88,76,135,90,72,54,109,68,76,38,19,8,96,85,86,90,93,77,108,101,106,132,99,125,100,116,94,68,105,130,102,236,160,162,127,113,154,66,165,187,153,128,128,157,150,156,200,193,245,265,230,241,230,273,311,293,305,309,196,339,261,200,146,95,30,283,357,314,257,285,280,284,253,282,293,303,240
India,10860,0,6,8,21,12,47,18,11,13,17,38,51,89,110,53,60,40,58,27,25,17,65,48,64,66,59,67,66,76,76,79,74,79,80,56,51,56,70,66,59,73,71,71,85,83,102,82,108,195,133,127,150,157,146,177,135,163,161,172,425,218,191,144,196,171,112,178,209,224,188,232,207,172,49,332,256,298,291,357,376,297,300,294,300,258,216
United Kingdom,1358,1,1,3,5,5,20,7,2,3,7,7,10,8,6,2,7,5,11,2,3,0,9,9,5,11,11,11,12,8,5,9,5,9,6,8,5,6,8,14,11,32,10,21,27,10,15,11,9,16,17,21,8,17,18,25,28,16,16,26,15,31,32,32,20,37,34,30,30,25,28,26,11,8,5,39,43,33,31,21,25,36,29,36,30,27,24
China,1294,1,2,0,3,6,17,2,2,2,6,5,7,5,9,8,15,8,18,9,4,5,7,16,11,11,15,11,0,4,11,6,14,6,9,8,10,12,13,19,16,24,29,32,21,21,11,18,23,20,15,17,26,20,14,11,24,15,27,27,16,32,19,24,16,31,28,16,20,16,17,21,21,17,0,26,25,23,22,18,8,13,30,31,20,26,30
Canada,1140,0,2,3,4,2,25,4,5,2,6,5,9,4,5,8,3,2,6,7,1,0,7,5,4,11,5,7,9,10,14,9,14,10,7,4,4,15,17,3,17,15,18,16,10,13,14,6,9,15,9,3,11,6,11,8,13,12,15,21,33,20,31,21,24,23,30,17,22,38,31,17,7,3,0,25,27,25,21,27,32,23,23,32,44,28,16
Germany,868,0,1,1,3,1,23,6,3,3,2,3,6,7,7,8,4,8,8,2,1,0,3,5,10,9,10,6,8,8,4,4,6,3,3,7,7,5,5,6,8,9,9,12,8,9,9,9,11,5,6,6,13,2,8,6,10,10,13,17,15,9,14,10,8,17,21,20,17,7,23,20,10,6,4,24,38,37,24,20,19,29,18,17,23,23,9
Italy,841,0,0,2,5,2,23,6,5,5,2,2,11,5,3,4,11,5,9,10,6,5,19,15,8,14,17,10,20,20,21,27,30,21,15,15,12,6,5,9,4,15,3,5,6,5,9,5,6,8,4,5,2,1,3,12,11,8,6,6,13,9,12,8,11,8,14,9,10,20,10,8,7,10,0,6,13,13,15,22,18,18,16,8,8,13,13
South Korea,741,0,0,0,0,1,5,0,1,1,2,2,5,6,1,1,4,1,3,2,2,1,2,2,5,4,5,2,3,2,6,10,11,8,7,7,3,5,6,0,7,6,13,4,6,2,11,4,8,7,7,5,8,9,8,15,15,11,6,12,19,8,8,12,9,9,34,12,19,15,16,14,14,10,3,21,27,14,25,15,11,14,20,17,33,28,24
