,Total,201434,201435,201436,201437,201438,201439,201440,201441,201442,201443,201444,201445,201446,201447,201448,201449,201450,201451,201452,201453,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201513,201514,201515,201516,201517,201518,201519,201520,201521,201522,201523,201524,201525,201526,201527,201528,201529,201530,201531,201532,201533,201534,201535,201536,201537,201538,201539,201540,201541,201542,201543,201544,201545,201546,201547,201548,201549,201550,201551,201552,201553,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201613
Mobile Device Info,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions
Apple iPhone,1192,8,5,9,9,10,30,44,7,1,9,12,6,8,8,5,15,2,7,3,1,0,8,4,7,4,12,3,6,7,7,3,9,2,8,5,5,0,4,4,8,29,16,14,18,9,10,6,2,9,14,9,6,15,9,11,31,11,9,17,17,14,20,22,37,33,28,23,24,42,21,15,22,8,4,24,30,19,23,27,14,25,28,27,23,55,17
Apple iPad,697,11,4,6,8,9,23,21,3,2,7,6,8,10,4,2,5,2,6,5,3,0,1,3,8,6,3,6,5,5,4,2,6,5,3,8,4,6,5,1,4,5,9,13,8,13,8,4,5,11,3,1,5,7,7,8,6,7,9,13,13,12,9,14,21,13,13,15,8,13,18,9,7,5,2,8,23,13,13,14,10,16,16,9,10,12,9
(not set),441,0,0,0,1,1,5,0,0,1,2,1,4,1,4,2,1,6,1,4,0,0,6,3,2,3,6,6,2,3,3,0,6,3,4,0,1,1,3,2,3,10,7,3,7,8,7,6,10,12,8,7,2,21,9,7,3,3,6,8,7,8,8,7,7,4,4,4,6,5,4,6,10,4,1,18,15,8,7,11,12,12,12,4,10,9,3
Google Nexus 5,144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,2,0,0,0,0,2,0,0,1,0,0,2,0,1,5,1,3,2,3,2,2,3,5,6,6,5,4,10,6,8,6,7,6,4,4,3,5,4,0,1,1,0,1,1,2,0,0,6,1,0,0,1,1,0
Microsoft Windows RT Tablet,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5,1,2,1,1,4,2,2,1,2,0,0,3,0,3,3,0,0,0,0,0,0
Motorola XT1033 Moto G,38,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,3,2,1,2,5,1,2,1,0,0,0
OnePlus A0001 One A0001,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,2,0,0,2,1,4,0,0,0,1,1,0,0,0,1,0,1,1,5,5,0,0,0,0,0,0
Samsung SM-G900V Galaxy S5,35,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,2,1,0,0,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,2,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
