week, month, prop
201435, 201408, 1.0
201436, 201408, 0.14285714285714285
201436, 201409, 0.8571428571428571
201437, 201409, 1.0
201438, 201409, 1.0
201439, 201409, 1.0
201440, 201409, 0.42857142857142855
201440, 201410, 0.5714285714285714
201441, 201410, 1.0
201442, 201410, 1.0
201443, 201410, 1.0
201444, 201410, 0.8571428571428571
201444, 201411, 0.14285714285714285
201445, 201411, 1.0
201446, 201411, 1.0
201447, 201411, 1.0
201448, 201411, 1.0
201449, 201411, 0.14285714285714285
201449, 201412, 0.8571428571428571
201450, 201412, 1.0
201451, 201412, 1.0
201452, 201412, 1.0
201453, 201412, 0.5714285714285714
201501, 201501, 0.42857142857142855
201502, 201501, 1.0
201503, 201501, 1.0
201504, 201501, 1.0
201505, 201501, 1.0
201506, 201502, 1.0
201507, 201502, 1.0
201508, 201502, 1.0
201509, 201502, 1.0
201510, 201503, 1.0
201511, 201503, 1.0
201512, 201503, 1.0
201513, 201503, 1.0
201514, 201503, 0.42857142857142855
201514, 201504, 0.5714285714285714
201515, 201504, 1.0
201516, 201504, 1.0
201517, 201504, 1.0
201518, 201504, 0.7142857142857143
201518, 201505, 0.2857142857142857
201519, 201505, 1.0
201520, 201505, 1.0
201521, 201505, 1.0
201522, 201505, 1.0
201523, 201505, 0.14285714285714285
201523, 201506, 0.8571428571428571
201524, 201506, 1.0
201525, 201506, 1.0
201526, 201506, 1.0
201527, 201506, 0.42857142857142855
201527, 201507, 0.5714285714285714
201528, 201507, 1.0
201529, 201507, 1.0
201530, 201507, 1.0
201531, 201507, 0.8571428571428571
201531, 201508, 0.14285714285714285
201532, 201508, 1.0
201533, 201508, 1.0
201534, 201508, 1.0
201535, 201508, 1.0
201536, 201508, 0.2857142857142857
201536, 201509, 0.7142857142857143
201537, 201509, 1.0
201538, 201509, 1.0
201539, 201509, 1.0
201540, 201509, 0.5714285714285714
201540, 201510, 0.42857142857142855
201541, 201510, 1.0
201542, 201510, 1.0
201543, 201510, 1.0
201544, 201510, 1.0
201545, 201511, 1.0
201546, 201511, 1.0
201547, 201511, 1.0
201548, 201511, 1.0
201549, 201511, 0.2857142857142857
201549, 201512, 0.7142857142857143
201550, 201512, 1.0
201551, 201512, 1.0
201552, 201512, 1.0
201553, 201512, 0.7142857142857143
201601, 201601, 0.2857142857142857
201602, 201601, 1.0
201603, 201601, 1.0
201604, 201601, 1.0
201605, 201601, 1.0
201606, 201601, 0.14285714285714285
201606, 201602, 0.8571428571428571
201607, 201602, 1.0
201608, 201602, 1.0
201609, 201602, 1.0
201610, 201602, 0.2857142857142857
201610, 201603, 0.7142857142857143
201611, 201603, 1.0
201612, 201603, 1.0
201613, 201603, 1.0
201614, 201603, 0.7142857142857143
